ID,Title,Description,URL,Format,Tags,Tone,Audience,Source,Language
212,Anxiety Tracking Worksheets,Printable worksheets for tracking anxiety triggers symptoms and coping strategies over time.,https://www.therapistaid.com/therapy-worksheets/anxiety-tracker/none,Guide,anxiety|tracking|monitoring|self-awareness,supportive,all,Therapist Aid,English
213,Ocean Waves Sleep Sounds,Ten-hour ocean waves audio for deep sleep relaxation and stress relief.,https://www.youtube.com/watch?v=V1Xqb-dE6P8,Audio,sleep|relaxation|ocean|nature,calm,all,Relaxing White Noise,English
213,Ocean Waves Sleep Sounds,Ten-hour ocean waves audio for deep sleep relaxation and stress relief.,https://www.youtube.com/watch?v=V1Xqb-dE6P8,Audio,sleep|relaxation|ocean|nature,calm,all,Relaxing White Noise,English
214,Understanding Dissociation,Educational article about dissociation symptoms triggers and grounding techniques for management.,https://www.mind.org.uk/information-support/types-of-mental-health-problems/dissociation-and-dissociative-disorders/,Article,dissociation|trauma|grounding|coping,informative,all,Mind UK,English
214,Understanding Dissociation,Educational article about dissociation symptoms triggers and grounding techniques for management.,https://www.mind.org.uk/information-support/types-of-mental-health-problems/dissociation-and-dissociative-disorders/,Article,dissociation|trauma|grounding|coping,informative,all,Mind UK,English
215,UPM Counselling Services,Universiti Putra Malaysia student counselling center offering mental health support and workshops.,https://bahepi.upm.edu.my/kaunseling-pelajar,Helpline,students|counseling|malaysia|university,supportive,students,UPM,English
215,UPM Counselling Services,Universiti Putra Malaysia student counselling center offering mental health support and workshops.,https://bahepi.upm.edu.my/kaunseling-pelajar,Helpline,students|counseling|malaysia|university,supportive,students,UPM,English
216,Values Clarification Exercise,Guided exercise to identify personal values and align actions with what matters most for wellbeing.,https://www.therapistaid.com/therapy-worksheet/values-clarification,Guide,values|meaning|wellbeing|self-discovery,supportive,all,Therapist Aid,English
216,Values Clarification Exercise,Guided exercise to identify personal values and align actions with what matters most for wellbeing.,https://www.therapistaid.com/therapy-worksheet/values-clarification,Guide,values|meaning|wellbeing|self-discovery,supportive,all,Therapist Aid,English
217,ASMR for Anxiety Relief,Gentle ASMR video designed to trigger relaxation response and reduce anxiety symptoms.,https://www.youtube.com/watch?v=8IhYc15k5ZM,Video,asmr|anxiety|relaxation|stress,calm,all,Gentle Whispering ASMR,English
217,ASMR for Anxiety Relief,Gentle ASMR video designed to trigger relaxation response and reduce anxiety symptoms.,https://www.youtube.com/watch?v=8IhYc15k5ZM,Video,asmr|anxiety|relaxation|stress,calm,all,Gentle Whispering ASMR,English
218,Panic Attack Management Plan,Step-by-step guide to creating a personalized panic attack management and safety plan.,https://www.anxietycanada.com/articles/panic-disorder/,Article,panic|anxiety|crisis-plan|coping,supportive,all,Anxiety Canada,English
218,Panic Attack Management Plan,Step-by-step guide to creating a personalized panic attack management and safety plan.,https://www.anxietycanada.com/articles/panic-disorder/,Article,panic|anxiety|crisis-plan|coping,supportive,all,Anxiety Canada,English
219,Mood Tracking Apps Guide,Comprehensive review of evidence-based mood tracking applications for mental health monitoring.,https://www.verywellmind.com/best-mood-tracker-apps-4176315,Article,mood-tracking|apps|monitoring|technology,informative,young_adults,Verywell Mind,English
219,Mood Tracking Apps Guide,Comprehensive review of evidence-based mood tracking applications for mental health monitoring.,https://www.verywellmind.com/best-mood-tracker-apps-4176315,Article,mood-tracking|apps|monitoring|technology,informative,young_adults,Verywell Mind,English
220,Bedtime Yoga for Sleep,Gentle 20-minute bedtime yoga routine to release tension and prepare body for sleep.,https://www.youtube.com/watch?v=v7SN-d4qXx0,Video,yoga|sleep|relaxation|stretching,calm,all,Yoga With Adriene,English
220,Bedtime Yoga for Sleep,Gentle 20-minute bedtime yoga routine to release tension and prepare body for sleep.,https://www.youtube.com/watch?v=v7SN-d4qXx0,Video,yoga|sleep|relaxation|stretching,calm,all,Yoga With Adriene,English
221,UTM Student Counselling,Universiti Teknologi Malaysia counselling services providing confidential mental health support.,https://sps.utm.my/kaunseling/,Helpline,students|counseling|malaysia|university,supportive,students,UTM,English
221,UTM Student Counselling,Universiti Teknologi Malaysia counselling services providing confidential mental health support.,https://sps.utm.my/kaunseling/,Helpline,students|counseling|malaysia|university,supportive,students,UTM,English
222,Cognitive Distortions List,Educational guide identifying common thinking errors that contribute to anxiety and depression.,https://www.therapistaid.com/therapy-worksheet/cbt-cognitive-distortions,Guide,cbt|thoughts|distortions|awareness,informative,all,Therapist Aid,English
222,Cognitive Distortions List,Educational guide identifying common thinking errors that contribute to anxiety and depression.,https://www.therapistaid.com/therapy-worksheet/cbt-cognitive-distortions,Guide,cbt|thoughts|distortions|awareness,informative,all,Therapist Aid,English
223,Rain and Thunder Sleep Sounds,Eight-hour thunderstorm audio for deep sleep masking and anxiety reduction.,https://www.youtube.com/watch?v=nDq6TstdEi8,Audio,sleep|relaxation|rain|nature,calm,all,Relaxing White Noise,English
223,Rain and Thunder Sleep Sounds,Eight-hour thunderstorm audio for deep sleep masking and anxiety reduction.,https://www.youtube.com/watch?v=nDq6TstdEi8,Audio,sleep|relaxation|rain|nature,calm,all,Relaxing White Noise,English
224,Existential Anxiety Guide,Understanding existential anxiety its triggers and philosophical approaches to finding meaning.,https://www.psychologytoday.com/us/blog/theory-and-psychopathology/201901/existential-anxiety,Article,anxiety|existential|meaning|philosophy,informative,young_adults,Psychology Today,English
224,Existential Anxiety Guide,Understanding existential anxiety its triggers and philosophical approaches to finding meaning.,https://www.psychologytoday.com/us/blog/theory-and-psychopathology/201901/existential-anxiety,Article,anxiety|existential|meaning|philosophy,informative,young_adults,Psychology Today,English
225,UKM Student Counselling,Universiti Kebangsaan Malaysia counselling unit offering mental health support for students.,https://www.ukm.my/hal-ehwal-pelajar/unit-kaunseling-dan-kerjaya/,Helpline,students|counseling|malaysia|university,supportive,students,UKM,English
225,UKM Student Counselling,Universiti Kebangsaan Malaysia counselling unit offering mental health support for students.,https://www.ukm.my/hal-ehwal-pelajar/unit-kaunseling-dan-kerjaya/,Helpline,students|counseling|malaysia|university,supportive,students,UKM,English
226,Self-Care Assessment Tool,Interactive self-care assessment to identify areas needing attention and create action plan.,https://www.therapistaid.com/therapy-worksheet/self-care-assessment,Guide,self-care|assessment|planning|wellbeing,supportive,all,Therapist Aid,English
226,Self-Care Assessment Tool,Interactive self-care assessment to identify areas needing attention and create action plan.,https://www.therapistaid.com/therapy-worksheet/self-care-assessment,Guide,self-care|assessment|planning|wellbeing,supportive,all,Therapist Aid,English
227,Study Music for Focus,Two-hour instrumental study music to improve concentration and reduce stress during work.,https://www.youtube.com/watch?v=5qap5aO4i9A,Audio,focus|studying|concentration|music,calm,students,Greenred Productions,English
227,Study Music for Focus,Two-hour instrumental study music to improve concentration and reduce stress during work.,https://www.youtube.com/watch?v=5qap5aO4i9A,Audio,focus|studying|concentration|music,calm,students,Greenred Productions,English
228,Toxic Productivity Guide,Article examining toxic productivity culture and strategies for healthier approach to achievement.,https://www.verywellmind.com/what-is-toxic-productivity-5097983,Article,productivity|burnout|balance|wellness,informative,students,Verywell Mind,English
228,Toxic Productivity Guide,Article examining toxic productivity culture and strategies for healthier approach to achievement.,https://www.verywellmind.com/what-is-toxic-productivity-5097983,Article,productivity|burnout|balance|wellness,informative,students,Verywell Mind,English
229,Bilateral Stimulation Audio,EMDR-inspired bilateral audio stimulation for trauma processing and anxiety reduction.,https://www.youtube.com/watch?v=EdNZVQJZC-4,Audio,trauma|emdr|processing|anxiety,calm,all,EMDR International,English
229,Bilateral Stimulation Audio,EMDR-inspired bilateral audio stimulation for trauma processing and anxiety reduction.,https://www.youtube.com/watch?v=EdNZVQJZC-4,Audio,trauma|emdr|processing|anxiety,calm,all,EMDR International,English
230,Malaysian Psychiatric Association,Professional resources and public education materials about mental health from MPA.,https://www.psychiatry-malaysia.org/,Article,mental-health|education|malaysia|resources,informative,all,MPA,English
230,Malaysian Psychiatric Association,Professional resources and public education materials about mental health from MPA.,https://www.psychiatry-malaysia.org/,Article,mental-health|education|malaysia|resources,informative,all,MPA,English
231,Activity Scheduling for Depression,Behavioral activation worksheet for planning mood-boosting activities to combat depression.,https://www.therapistaid.com/therapy-worksheet/activity-scheduling,Guide,depression|behavioral-activation|mood|planning,supportive,all,Therapist Aid,English
231,Activity Scheduling for Depression,Behavioral activation worksheet for planning mood-boosting activities to combat depression.,https://www.therapistaid.com/therapy-worksheet/activity-scheduling,Guide,depression|behavioral-activation|mood|planning,supportive,all,Therapist Aid,English
232,Deep Sleep Meditation,Hour-long guided meditation specifically designed to facilitate deep restorative sleep.,https://www.youtube.com/watch?v=aEqlQvczMJQ,Audio,sleep|meditation|deep-sleep|guided,calm,all,Jason Stephenson,English
232,Deep Sleep Meditation,Hour-long guided meditation specifically designed to facilitate deep restorative sleep.,https://www.youtube.com/watch?v=aEqlQvczMJQ,Audio,sleep|meditation|deep-sleep|guided,calm,all,Jason Stephenson,English
233,Taylor University Counselling MY,Taylor's University counselling services providing mental health support for students in Malaysia.,https://www.taylors.edu.my/student-life/student-support/counselling,Helpline,students|counseling|malaysia|university,supportive,students,Taylor's University,English
233,Taylor University Counselling MY,Taylor's University counselling services providing mental health support for students in Malaysia.,https://www.taylors.edu.my/student-life/student-support/counselling,Helpline,students|counseling|malaysia|university,supportive,students,Taylor's University,English
234,Communication Skills Workbook,Evidence-based workbook teaching effective communication to reduce relationship anxiety.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Communication,Guide,communication|relationships|skills|anxiety,supportive,all,CCI,English
234,Communication Skills Workbook,Evidence-based workbook teaching effective communication to reduce relationship anxiety.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Communication,Guide,communication|relationships|skills|anxiety,supportive,all,CCI,English
235,Nature Walk Meditation Audio,Guided meditation combining nature imagery with mindfulness for stress reduction.,https://www.youtube.com/watch?v=vOCNdVPjLnI,Audio,meditation|nature|mindfulness|stress,calm,all,Meditative Mind,English
235,Nature Walk Meditation Audio,Guided meditation combining nature imagery with mindfulness for stress reduction.,https://www.youtube.com/watch?v=vOCNdVPjLnI,Audio,meditation|nature|mindfulness|stress,calm,all,Meditative Mind,English
236,Understanding Agoraphobia,Comprehensive information about agoraphobia symptoms causes and effective treatment approaches.,https://adaa.org/understanding-anxiety/agoraphobia,Article,agoraphobia|anxiety|phobia|treatment,informative,all,ADAA,English
236,Understanding Agoraphobia,Comprehensive information about agoraphobia symptoms causes and effective treatment approaches.,https://adaa.org/understanding-anxiety/agoraphobia,Article,agoraphobia|anxiety|phobia|treatment,informative,all,ADAA,English
237,MARA Counselling Hotline,Malaysian Rural Development Authority counselling helpline for students and youth nationwide.,https://www.mara.gov.my/,Helpline,students|counseling|malaysia|crisis,urgent,students,MARA,English
237,MARA Counselling Hotline,Malaysian Rural Development Authority counselling helpline for students and youth nationwide.,https://www.mara.gov.my/,Helpline,students|counseling|malaysia|crisis,urgent,students,MARA,English
238,Worry Jar Technique,Creative anxiety management technique for containing and scheduling worries effectively.,https://www.getselfhelp.co.uk/worrybag.htm,Article,worry|anxiety|techniques|creative,supportive,all,Get Self Help,English
238,Worry Jar Technique,Creative anxiety management technique for containing and scheduling worries effectively.,https://www.getselfhelp.co.uk/worrybag.htm,Article,worry|anxiety|techniques|creative,supportive,all,Get Self Help,English
239,Classical Music for Studying,Three-hour classical music playlist to enhance focus and reduce study-related stress.,https://www.youtube.com/watch?v=jgpJVI3tDbY,Audio,focus|studying|music|classical,calm,students,HALIDONMUSIC,English
239,Classical Music for Studying,Three-hour classical music playlist to enhance focus and reduce study-related stress.,https://www.youtube.com/watch?v=jgpJVI3tDbY,Audio,focus|studying|music|classical,calm,students,HALIDONMUSIC,English
240,Sunway University Counselling,Sunway University counselling services offering mental health support and crisis intervention.,https://university.sunway.edu.my/student-life/support-services/counselling,Helpline,students|counseling|malaysia|university,supportive,students,Sunway University,English
240,Sunway University Counselling,Sunway University counselling services offering mental health support and crisis intervention.,https://university.sunway.edu.my/student-life/support-services/counselling,Helpline,students|counseling|malaysia|university,supportive,students,Sunway University,English
241,Emotion Wheel Tool,Interactive emotion wheel to improve emotional literacy and accurately identify feelings.,https://www.therapistaid.com/therapy-worksheet/emotion-wheel,Guide,emotions|awareness|literacy|identification,supportive,all,Therapist Aid,English
241,Emotion Wheel Tool,Interactive emotion wheel to improve emotional literacy and accurately identify feelings.,https://www.therapistaid.com/therapy-worksheet/emotion-wheel,Guide,emotions|awareness|literacy|identification,supportive,all,Therapist Aid,English
242,Binaural Beats for Sleep,Hour-long binaural beats audio scientifically designed to promote deep sleep and relaxation.,https://www.youtube.com/watch?v=kzEAGlhKZdg,Audio,sleep|binaural|relaxation|deep-sleep,calm,all,Meditative Mind,English
242,Binaural Beats for Sleep,Hour-long binaural beats audio scientifically designed to promote deep sleep and relaxation.,https://www.youtube.com/watch?v=kzEAGlhKZdg,Audio,sleep|binaural|relaxation|deep-sleep,calm,all,Meditative Mind,English
243,Health Anxiety CBT Guide,Evidence-based cognitive behavioral therapy approaches specifically for health anxiety management.,https://www.anxietycanada.com/articles/illness-anxiety-disorder/,Article,health-anxiety|cbt|hypochondria|treatment,informative,all,Anxiety Canada,English
243,Health Anxiety CBT Guide,Evidence-based cognitive behavioral therapy approaches specifically for health anxiety management.,https://www.anxietycanada.com/articles/illness-anxiety-disorder/,Article,health-anxiety|cbt|hypochondria|treatment,informative,all,Anxiety Canada,English
244,INTI University Counselling,INTI International University counselling center providing mental health services for students.,https://newinti.edu.my/student-life/student-support-services/,Helpline,students|counseling|malaysia|university,supportive,students,INTI University,English
244,INTI University Counselling,INTI International University counselling center providing mental health services for students.,https://newinti.edu.my/student-life/student-support-services/,Helpline,students|counseling|malaysia|university,supportive,students,INTI University,English
245,Problem-Solving Worksheet,Structured problem-solving worksheet to reduce anxiety and increase sense of control.,https://www.therapistaid.com/therapy-worksheet/problem-solving,Guide,problem-solving|anxiety|coping|skills,supportive,all,Therapist Aid,English
245,Problem-Solving Worksheet,Structured problem-solving worksheet to reduce anxiety and increase sense of control.,https://www.therapistaid.com/therapy-worksheet/problem-solving,Guide,problem-solving|anxiety|coping|skills,supportive,all,Therapist Aid,English
246,Morning Meditation Routine,15-minute guided morning meditation to set positive intention and reduce daily anxiety.,https://www.youtube.com/watch?v=cwGJaliO16w,Video,meditation|morning|routine|mindfulness,calm,all,Great Meditation,English
246,Morning Meditation Routine,15-minute guided morning meditation to set positive intention and reduce daily anxiety.,https://www.youtube.com/watch?v=cwGJaliO16w,Video,meditation|morning|routine|mindfulness,calm,all,Great Meditation,English
247,Understanding Mania and Hypomania,Educational resource about recognizing manic and hypomanic episodes in bipolar disorder.,https://www.nimh.nih.gov/health/topics/bipolar-disorder,Article,bipolar|mania|symptoms|awareness,informative,all,NIMH,English
247,Understanding Mania and Hypomania,Educational resource about recognizing manic and hypomanic episodes in bipolar disorder.,https://www.nimh.nih.gov/health/topics/bipolar-disorder,Article,bipolar|mania|symptoms|awareness,informative,all,NIMH,English
248,APU Malaysia Counselling,Asia Pacific University counselling services offering mental health support for students.,https://www.apu.edu.my/student-life/student-support,Helpline,students|counseling|malaysia|university,supportive,students,APU,English
248,APU Malaysia Counselling,Asia Pacific University counselling services offering mental health support for students.,https://www.apu.edu.my/student-life/student-support,Helpline,students|counseling|malaysia|university,supportive,students,APU,English
249,Gratitude Practice Guide,Evidence-based guide to starting and maintaining gratitude practice for improved mental health.,https://www.therapistaid.com/therapy-worksheet/gratitude-journal,Guide,gratitude|wellbeing|positivity|journaling,supportive,all,Therapist Aid,English
249,Gratitude Practice Guide,Evidence-based guide to starting and maintaining gratitude practice for improved mental health.,https://www.therapistaid.com/therapy-worksheet/gratitude-journal,Guide,gratitude|wellbeing|positivity|journaling,supportive,all,Therapist Aid,English
250,Tibetan Singing Bowls Meditation,Hour-long Tibetan singing bowls sound bath for deep relaxation and stress relief.,https://www.youtube.com/watch?v=3eYwHghWoZ8,Audio,meditation|sound-healing|relaxation|stress,calm,all,Meditative Mind,English
250,Tibetan Singing Bowls Meditation,Hour-long Tibetan singing bowls sound bath for deep relaxation and stress relief.,https://www.youtube.com/watch?v=3eYwHghWoZ8,Audio,meditation|sound-healing|relaxation|stress,calm,all,Meditative Mind,English
251,Anticipatory Anxiety Management,Strategies for managing anxiety about future events and breaking the anticipation cycle.,https://www.verywellmind.com/anticipatory-anxiety-coping-2584265,Article,anxiety|anticipation|worry|coping,supportive,all,Verywell Mind,English
251,Anticipatory Anxiety Management,Strategies for managing anxiety about future events and breaking the anticipation cycle.,https://www.verywellmind.com/anticipatory-anxiety-coping-2584265,Article,anxiety|anticipation|worry|coping,supportive,all,Verywell Mind,English
252,MMU Counselling Services,Multimedia University student counselling unit providing mental health support and workshops.,https://www.mmu.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,MMU,English
252,MMU Counselling Services,Multimedia University student counselling unit providing mental health support and workshops.,https://www.mmu.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,MMU,English
253,Relaxation Response Technique,Guide to eliciting the relaxation response to counteract stress and anxiety.,https://www.bensonhenryinstitute.org/relaxation-response/,Article,relaxation|stress|meditation|techniques,calm,all,Benson-Henry Institute,English
253,Relaxation Response Technique,Guide to eliciting the relaxation response to counteract stress and anxiety.,https://www.bensonhenryinstitute.org/relaxation-response/,Article,relaxation|stress|meditation|techniques,calm,all,Benson-Henry Institute,English
254,Calm Piano Music for Sleep,Two-hour peaceful piano music to facilitate relaxation and improve sleep quality.,https://www.youtube.com/watch?v=PJL_mVgT0Ao,Audio,sleep|piano|music|relaxation,calm,all,Soothing Relaxation,English
254,Calm Piano Music for Sleep,Two-hour peaceful piano music to facilitate relaxation and improve sleep quality.,https://www.youtube.com/watch?v=PJL_mVgT0Ao,Audio,sleep|piano|music|relaxation,calm,all,Soothing Relaxation,English
255,Monash Malaysia Counselling,Monash University Malaysia campus counselling services for student mental health support.,https://www.monash.edu.my/student-services/counselling,Helpline,students|counseling|malaysia|university,supportive,students,Monash Malaysia,English
255,Monash Malaysia Counselling,Monash University Malaysia campus counselling services for student mental health support.,https://www.monash.edu.my/student-services/counselling,Helpline,students|counseling|malaysia|university,supportive,students,Monash Malaysia,English
256,Mindful Self-Compassion Workbook,Comprehensive workbook teaching mindful self-compassion practices to reduce self-criticism.,https://self-compassion.org/the-program/,Guide,self-compassion|mindfulness|workbook|kindness,supportive,all,Center for Self-Compassion,English
256,Mindful Self-Compassion Workbook,Comprehensive workbook teaching mindful self-compassion practices to reduce self-criticism.,https://self-compassion.org/the-program/,Guide,self-compassion|mindfulness|workbook|kindness,supportive,all,Center for Self-Compassion,English
257,Anxiety Relief Acupressure,Video demonstrating acupressure points and techniques for immediate anxiety relief.,https://www.youtube.com/watch?v=4AY1k3_TKQo,Video,acupressure|anxiety|relief|techniques,calm,all,Doctor Mike,English
257,Anxiety Relief Acupressure,Video demonstrating acupressure points and techniques for immediate anxiety relief.,https://www.youtube.com/watch?v=4AY1k3_TKQo,Video,acupressure|anxiety|relief|techniques,calm,all,Doctor Mike,English
258,Understanding Psychosis,Educational resource about psychosis symptoms early warning signs and treatment options.,https://www.nimh.nih.gov/health/topics/schizophrenia,Article,psychosis|symptoms|treatment|awareness,informative,all,NIMH,English
258,Understanding Psychosis,Educational resource about psychosis symptoms early warning signs and treatment options.,https://www.nimh.nih.gov/health/topics/schizophrenia,Article,psychosis|symptoms|treatment|awareness,informative,all,NIMH,English
259,Nottingham Malaysia Counselling,University of Nottingham Malaysia counselling services offering student mental health support.,https://www.nottingham.edu.my/Student-Life/Student-Support/Counselling-Service/Counselling-Service.aspx,Helpline,students|counseling|malaysia|university,supportive,students,Nottingham Malaysia,English
259,Nottingham Malaysia Counselling,University of Nottingham Malaysia counselling services offering student mental health support.,https://www.nottingham.edu.my/Student-Life/Student-Support/Counselling-Service/Counselling-Service.aspx,Helpline,students|counseling|malaysia|university,supportive,students,Nottingham Malaysia,English
260,Values and Goals Workbook,Workbook for identifying core values and setting meaningful goals aligned with personal values.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Values-and-Actions,Guide,values|goals|meaning|planning,supportive,all,CCI,English
260,Values and Goals Workbook,Workbook for identifying core values and setting meaningful goals aligned with personal values.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Values-and-Actions,Guide,values|goals|meaning|planning,supportive,all,CCI,English
261,Guided Body Scan Meditation,30-minute body scan meditation for relaxation stress relief and body awareness.,https://www.youtube.com/watch?v=15q-N-_kkrU,Video,meditation|body-scan|relaxation|mindfulness,calm,all,The Mindful Movement,English
261,Guided Body Scan Meditation,30-minute body scan meditation for relaxation stress relief and body awareness.,https://www.youtube.com/watch?v=15q-N-_kkrU,Video,meditation|body-scan|relaxation|mindfulness,calm,all,The Mindful Movement,English
262,UCSI University Counselling,UCSI University counselling unit providing confidential mental health services for students.,https://www.ucsiuniversity.edu.my/student-life/student-services,Helpline,students|counseling|malaysia|university,supportive,students,UCSI University,English
262,UCSI University Counselling,UCSI University counselling unit providing confidential mental health services for students.,https://www.ucsiuniversity.edu.my/student-life/student-services,Helpline,students|counseling|malaysia|university,supportive,students,UCSI University,English
263,Positive Psychology Interventions,Evidence-based positive psychology exercises to improve wellbeing and reduce depression.,https://positivepsychology.com/positive-psychology-interventions/,Article,positive-psychology|wellbeing|exercises|happiness,supportive,all,Positive Psychology,English
263,Positive Psychology Interventions,Evidence-based positive psychology exercises to improve wellbeing and reduce depression.,https://positivepsychology.com/positive-psychology-interventions/,Article,positive-psychology|wellbeing|exercises|happiness,supportive,all,Positive Psychology,English
264,Chakra Healing Meditation,Hour-long guided chakra meditation for energy balancing and emotional healing.,https://www.youtube.com/watch?v=StrbppmsZJk,Audio,meditation|chakra|healing|energy,calm,all,Jason Stephenson,English
264,Chakra Healing Meditation,Hour-long guided chakra meditation for energy balancing and emotional healing.,https://www.youtube.com/watch?v=StrbppmsZJk,Audio,meditation|chakra|healing|energy,calm,all,Jason Stephenson,English
265,Exposure Therapy Self-Help,Guide to gradual exposure techniques for managing phobias and anxiety disorders.,https://www.anxietycanada.com/articles/facing-your-fears/,Article,exposure|phobia|anxiety|treatment,informative,all,Anxiety Canada,English
265,Exposure Therapy Self-Help,Guide to gradual exposure techniques for managing phobias and anxiety disorders.,https://www.anxietycanada.com/articles/facing-your-fears/,Article,exposure|phobia|anxiety|treatment,informative,all,Anxiety Canada,English
266,UTAR Counselling Services,Universiti Tunku Abdul Rahman counselling unit offering mental health support for students.,https://www.utar.edu.my/dsa/counsellingunit.jsp,Helpline,students|counseling|malaysia|university,supportive,students,UTAR,English
266,UTAR Counselling Services,Universiti Tunku Abdul Rahman counselling unit offering mental health support for students.,https://www.utar.edu.my/dsa/counsellingunit.jsp,Helpline,students|counseling|malaysia|university,supportive,students,UTAR,English
267,Cognitive Restructuring Worksheet,CBT worksheet for identifying and challenging negative automatic thoughts.,https://www.therapistaid.com/therapy-worksheet/cognitive-restructuring,Guide,cbt|thoughts|restructuring|anxiety,supportive,all,Therapist Aid,English
267,Cognitive Restructuring Worksheet,CBT worksheet for identifying and challenging negative automatic thoughts.,https://www.therapistaid.com/therapy-worksheet/cognitive-restructuring,Guide,cbt|thoughts|restructuring|anxiety,supportive,all,Therapist Aid,English
268,Waterfall Sounds for Relaxation,Two-hour waterfall sounds audio for meditation stress relief and improved focus.,https://www.youtube.com/watch?v=bzfuE8XfHhg,Audio,relaxation|nature|meditation|focus,calm,all,Relaxing White Noise,English
268,Waterfall Sounds for Relaxation,Two-hour waterfall sounds audio for meditation stress relief and improved focus.,https://www.youtube.com/watch?v=bzfuE8XfHhg,Audio,relaxation|nature|meditation|focus,calm,all,Relaxing White Noise,English
269,Understanding Schizophrenia,Comprehensive information about schizophrenia symptoms causes and evidence-based treatments.,https://www.nimh.nih.gov/health/topics/schizophrenia,Article,schizophrenia|psychosis|treatment|symptoms,informative,all,NIMH,English
269,Understanding Schizophrenia,Comprehensive information about schizophrenia symptoms causes and evidence-based treatments.,https://www.nimh.nih.gov/health/topics/schizophrenia,Article,schizophrenia|psychosis|treatment|symptoms,informative,all,NIMH,English
270,Help University Counselling,HELP University counselling services providing mental health support and crisis intervention.,https://www.help.edu.my/student-life/student-support-services/,Helpline,students|counseling|malaysia|university,supportive,students,HELP University,English
270,Help University Counselling,HELP University counselling services providing mental health support and crisis intervention.,https://www.help.edu.my/student-life/student-support-services/,Helpline,students|counseling|malaysia|university,supportive,students,HELP University,English
271,Distress Tolerance Skills,DBT-based skills for tolerating distress without making situations worse through impulsive actions.,https://www.therapistaid.com/therapy-guide/dbt-distress-tolerance-skills,Article,dbt|distress|coping|crisis,supportive,all,Therapist Aid,English
271,Distress Tolerance Skills,DBT-based skills for tolerating distress without making situations worse through impulsive actions.,https://www.therapistaid.com/therapy-guide/dbt-distress-tolerance-skills,Article,dbt|distress|coping|crisis,supportive,all,Therapist Aid,English
272,Sleep Stories for Adults,Calming bedtime stories narrated to help adults relax and fall asleep naturally.,https://www.youtube.com/watch?v=mAz_1bGpMpY,Audio,sleep|stories|relaxation|bedtime,calm,all,Dan Jones Hypnosis,English
272,Sleep Stories for Adults,Calming bedtime stories narrated to help adults relax and fall asleep naturally.,https://www.youtube.com/watch?v=mAz_1bGpMpY,Audio,sleep|stories|relaxation|bedtime,calm,all,Dan Jones Hypnosis,English
273,Heriot-Watt Malaysia Counselling,Heriot-Watt University Malaysia campus counselling services for student mental health.,https://www.hw.ac.uk/malaysia/study/student-life/support.htm,Helpline,students|counseling|malaysia|university,supportive,students,Heriot-Watt Malaysia,English
273,Heriot-Watt Malaysia Counselling,Heriot-Watt University Malaysia campus counselling services for student mental health.,https://www.hw.ac.uk/malaysia/study/student-life/support.htm,Helpline,students|counseling|malaysia|university,supportive,students,Heriot-Watt Malaysia,English
274,Mindfulness Eating Exercise,Guided mindfulness eating exercise to develop healthier relationship with food and reduce stress.,https://www.thecenterformindfuleating.org/,Article,mindfulness|eating|awareness|stress,calm,all,Center for Mindful Eating,English
274,Mindfulness Eating Exercise,Guided mindfulness eating exercise to develop healthier relationship with food and reduce stress.,https://www.thecenterformindfuleating.org/,Article,mindfulness|eating|awareness|stress,calm,all,Center for Mindful Eating,English
275,Alpha Waves Study Music,Three-hour alpha brain waves music to enhance learning focus and reduce study anxiety.,https://www.youtube.com/watch?v=WPni755-Krg,Audio,focus|studying|brain-waves|concentration,calm,students,Meditative Mind,English
275,Alpha Waves Study Music,Three-hour alpha brain waves music to enhance learning focus and reduce study anxiety.,https://www.youtube.com/watch?v=WPni755-Krg,Audio,focus|studying|brain-waves|concentration,calm,students,Meditative Mind,English
276,Understanding OCD,Evidence-based information about obsessive-compulsive disorder symptoms and effective treatments.,https://adaa.org/understanding-anxiety/obsessive-compulsive-disorder-ocd,Article,ocd|anxiety|obsessions|treatment,informative,all,ADAA ,English
276,Understanding OCD,Evidence-based information about obsessive-compulsive disorder symptoms and effective treatments.,https://adaa.org/understanding-anxiety/obsessive-compulsive-disorder-ocd,Article,ocd|anxiety|obsessions|treatment,informative,all,ADAA,English
277,KDU University Counselling,KDU University College counselling services offering mental health support for students.,https://www.kdu.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,KDU,English
277,KDU University Counselling,KDU University College counselling services offering mental health support for students.,https://www.kdu.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,KDU,English
278,Acceptance and Commitment Therapy,Introduction to ACT principles and techniques for psychological flexibility and wellbeing.,https://www.psychologytoday.com/us/therapy-types/acceptance-and-commitment-therapy,Article,act|therapy|acceptance|mindfulness,informative,all,Psychology Today,English
278,Acceptance and Commitment Therapy,Introduction to ACT principles and techniques for psychological flexibility and wellbeing.,https://www.psychologytoday.com/us/therapy-types/acceptance-and-commitment-therapy,Article,act|therapy|acceptance|mindfulness,informative,all,Psychology Today,English
